ID;Tipo;CC;Instalacion;Tipo de Contrato;Cap.Sum.Contratada Pico;Cap.Sum.Contratada F.Pico;Dem.Reg.Pico;Dem.Reg.F.Pico;;;;;;;IC
EDP01;GD;700011272;400000450;EB;20;20;29;83;;;;;;;321
EDP01;GD;700011272;400000450;EA;30;50;6;86;;;;;;;321
EDP01;GD;700011272;400000450;EA;30;50;50;94;;;;;;;321
EDP01;GD;700011272;400000450;EA;30;50;55;92;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;12;96;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;3;85;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;2;68;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;1;38;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;20;83;;;;;;;321
EDP01;GD;700011272;400000450;EA;30;50;25;94;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;9;76;;;;;;;321
EDP01;GD;700011272;400000450;EB;20;20;70;128;;;;;;;321
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
